car_ID,horsepower,price
1,111,13495
2,111,16500
3,154,16500
4,102,13950
5,115,17450
6,110,15250
7,110,17710
8,110,18920
9,140,23875
10,160,17859.167
11,101,16430
12,101,16925
13,121,20970
14,121,21105
15,121,24565
16,182,30760
17,182,41315
18,182,36880
19,48,5151
20,70,6295
21,70,6575
22,68,5572
23,68,6377
24,102,7957
25,68,6229
26,68,6692
27,68,7609
28,102,8558
29,88,8921
30,145,12964
31,58,6479
32,76,6855
33,60,5399
34,76,6529
35,76,7129
36,76,7295
37,76,7295
38,86,7895
39,86,9095
40,86,8845
41,86,10295
42,101,12945
43,100,10345
44,78,6785
45,70,8916.5
46,70,8916.5
47,90,11048
48,176,32250
49,176,35550
50,262,36000
51,68,5195
52,68,6095
53,68,6795
54,68,6695
55,68,7395
56,101,10945
57,101,11845
58,101,13645
59,135,15645
60,84,8845
61,84,8495
62,84,10595
63,84,10245
64,64,10795
65,84,11245
66,120,18280
67,72,18344
68,123,25552
69,123,28248
70,123,28176
71,123,31600
72,155,34184
73,155,35056
74,184,40960
75,184,45400
76,175,16503
77,68,5389
78,68,6189
79,68,6669
80,102,7689
81,116,9959
82,88,8499
83,145,12629
84,145,14869
85,145,14489
86,88,6989
87,88,8189
88,116,9279
89,116,9279
90,69,5499
91,55,7099
92,69,6649
93,69,6849
94,69,7349
95,69,7299
96,69,7799
97,69,7499
98,69,7999
99,69,8249
100,97,8949
101,97,9549
102,152,13499
103,152,14399
104,152,13499
105,160,17199
106,200,19699
107,160,18399
108,97,11900
109,95,13200
110,97,12440
111,95,13860
112,95,15580
113,95,16900
114,95,16695
115,95,17075
116,97,16630
117,95,17950
118,142,18150
119,68,5572
120,102,7957
121,68,6229
122,68,6692
123,68,7609
124,88,8921
125,145,12764
126,143,22018
127,207,32528
128,207,34028
129,207,37028
130,288,31400.5
131,90,9295
132,90,9895
133,110,11850
134,110,12170
135,110,15040
136,110,15510
137,160,18150
138,160,18620
139,69,5118
140,73,7053
141,73,7603
142,82,7126
143,82,7775
144,94,9960
145,82,9233
146,111,11259
147,82,7463
148,94,10198
149,82,8013
150,111,11694
151,62,5348
152,62,6338
153,62,6488
154,62,6918
155,62,7898
156,62,8778
157,70,6938
158,70,7198
159,56,7898
160,56,7788
161,70,7738
162,70,8358
163,70,9258
164,70,8058
165,70,8238
166,112,9298
167,112,9538
168,116,8449
169,116,9639
170,116,9989
171,116,11199
172,116,11549
173,116,17669
174,92,8948
175,73,10698
176,92,9988
177,92,10898
178,92,11248
179,161,16558
180,161,15998
181,156,15690
182,156,15750
183,52,7775
184,85,7975
185,52,7995
186,85,8195
187,85,8495
188,68,9495
189,100,9995
190,90,11595
191,90,9980
192,110,13295
193,68,13845
194,88,12290
195,114,12940
196,114,13415
197,114,15985
198,114,16515
199,162,18420
200,162,18950
201,114,16845
202,160,19045
203,134,21485
204,106,22470
205,114,22625
